code,menu,menu_vi,description,description_vi,chapter,section,keywords,keywords_vi
010121,Live Horses,Ngựa Sống,Pure-bred breeding horses,Những con ngựa giống thuần chủng,01,I,horse;breeding;pure-bred;animal;equine,ngựa;giống;thuần chủng;động vật;ngựa thuần
010129,Live Horses,Ngựa Sống,Other live horses,Những con ngựa sống khác,01,I,horse;animal;live;equine,ngựa;động vật;sống;ngựa thuần
010290,Other Live Animals,Động Vật Sống Khác,Other live animals,Những con vật sống khác,01,I,animal;live;livestock;domestic;pet,động vật;sống;gia súc;nuôi dưỡng;thú cưng
020110,Beef,Thịt Bò,Beef cattle meat fresh or chilled,Thịt bò tươi hoặc lạnh,02,I,beef;cattle;meat;fresh;chilled;livestock;food,thịt bò;gia súc;thịt;tươi;lạnh;gia súc;thực phẩm
020120,Beef,Thịt Bò,Beef cattle meat frozen,Thịt bò đông lạnh,02,I,beef;cattle;meat;frozen;food;livestock,thịt bò;gia súc;thịt;đông lạnh;thực phẩm;gia súc
020210,Pork,Thịt Lợn,Pork meat fresh or chilled,Thịt lợn tươi hoặc lạnh,02,I,pork;meat;fresh;chilled;pig;food;livestock,thịt lợn;thịt;tươi;lạnh;lợn;thực phẩm;gia súc
020220,Pork,Thịt Lợn,Pork meat frozen,Thịt lợn đông lạnh,02,I,pork;meat;frozen;pig;food;livestock,thịt lợn;thịt;đông lạnh;lợn;thực phẩm;gia súc
030111,Fish,Cá,Fish salmon fresh or chilled,Cá hồi tươi hoặc lạnh,03,I,fish;salmon;fresh;chilled;seafood;aquatic;food,cá;cá hồi;tươi;lạnh;hải sản;thuỷ sản;thực phẩm
030112,Fish,Cá,Fish salmon frozen,Cá hồi đông lạnh,03,I,fish;salmon;frozen;seafood;aquatic;food,cá;cá hồi;đông lạnh;hải sản;thuỷ sản;thực phẩm
030211,Fish,Cá,Fish trout fresh or chilled,Cá tầm tươi hoặc lạnh,03,I,fish;trout;fresh;chilled;seafood;aquatic;food,cá;cá tầm;tươi;lạnh;hải sản;thuỷ sản;thực phẩm
030212,Fish,Cá,Fish trout frozen,Cá tầm đông lạnh,03,I,fish;trout;frozen;seafood;aquatic;food,cá;cá tầm;đông lạnh;hải sản;thuỷ sản;thực phẩm
040110,Milk,Sữa,Milk and cream non-concentrated,Sữa và kem không cô đặc,04,I,milk;dairy;non-concentrated;fresh;food;beverage,sữa;sữa kem;không cô đặc;tươi;thực phẩm;đồ uống
040120,Milk,Sữa,Milk and cream concentrated or with sugar,Sữa và kem cô đặc hoặc có đường,04,I,milk;dairy;concentrated;sugar;food;beverage,sữa;sữa kem;cô đặc;đường;thực phẩm;đồ uống
040221,Dairy,Sản Phẩm Từ Sữa,Milk and cream concentrated with added sugar,Sữa và kem cô đặc có đường,04,I,milk;cream;dairy;concentrate;food;beverage,sữa;kem;sữa kem;cô đặc;thực phẩm;đồ uống
040229,Dairy,Sản Phẩm Từ Sữa,Milk and cream other,Sữa và kem khác,04,I,milk;cream;dairy;food;beverage,sữa;kem;sữa kem;thực phẩm;đồ uống
050110,Hides,Da Sơ,Cowhides and calf skins fresh,Da bò và da bê tươi,05,I,hide;skin;cattle;leather;fresh;raw;material,da;da bò;da bê;tươi;da thô;nguyên liệu
050190,Hides,Da Sơ,Other animal hides and skins fresh,Da động vật khác tươi,05,I,hide;skin;leather;fresh;raw;material,da;da thô;da động vật;tươi;nguyên liệu
050210,Skins,Lông Da,Sheepskins with wool on,Da cừu còn lông,05,I,skin;wool;sheep;leather;material,da cừu;lông cừu;da;lông;nguyên liệu
050290,Skins,Lông Da,Goatskins with hair on,Da dê còn lông,05,I,skin;hair;goat;leather;material,da dê;lông dê;da;lông;nguyên liệu
060110,Meat Offal,Phụ Tạng Thịt,Beef cattle edible offal fresh,Phụ tạng bò ăn được tươi,06,I,offal;beef;cattle;edible;fresh;food,phụ tạng;bò;thịt;ăn được;tươi;thực phẩm
060120,Meat Offal,Phụ Tạng Thịt,Beef cattle edible offal frozen,Phụ tạng bò ăn được đông lạnh,06,I,offal;beef;cattle;edible;frozen;food,phụ tạng;bò;thịt;ăn được;đông lạnh;thực phẩm
070110,Potatoes,Khoai Tây,Potatoes fresh or chilled,Khoai tây tươi hoặc lạnh,07,I,potato;vegetables;fresh;chilled;food,khoai tây;rau;tươi;lạnh;thực phẩm
070190,Vegetables,Rau Quả,Other edible vegetables fresh,Rau quả ăn được khác tươi,07,I,vegetables;fresh;food;produce,rau quả;ăn được;tươi;thực phẩm
070310,Onions,Hành Tây,Onions fresh or chilled,Hành tây tươi hoặc lạnh,07,I,onion;vegetables;fresh;chilled;food,hành tây;rau;tươi;lạnh;thực phẩm
070320,Garlic,Tỏi,Garlic fresh or chilled,Tỏi tươi hoặc lạnh,07,I,garlic;vegetables;fresh;chilled;food,tỏi;rau;tươi;lạnh;thực phẩm
080210,Nuts,Hạt Dẻ,Tree nuts in shell not roasted,Hạt dẻ cạnh vỏ không rang,08,I,nuts;tree nuts;shell;roasted;food,hạt dẻ;hạt;vỏ;rang;thực phẩm
080220,Nuts,Hạt Dẻ,Tree nuts without shell roasted or not,Hạt dẻ cạnh không vỏ rang hoặc không,08,I,nuts;tree nuts;shelled;roasted;food,hạt dẻ;hạt;không vỏ;rang;thực phẩm
090111,Coffee,Cà Phê,Coffee not roasted not decaffeinated,Cà phê chưa rang chưa lọc caffeine,09,I,coffee;beverage;roasted;decaffeinated;food,cà phê;đồ uống;rang;caffeine;thực phẩm
